city,state,latitude,longitude
FORT LARAMIE,WY,42.2128,-104.5171
CHEYENNE,WY,41.1348,-104.8215
WEIRTON,WV,40.4186,-80.5894
SOUTH CHARLESTON,WV,38.3667,-81.6934
MORGANTOWN,WV,39.6304,-79.9579
HUNTINGTON,WV,38.4202,-82.4455
CHESTER,WV,40.6115,-80.5653
CHARLESTON,WV,38.3502,-81.639
BLUEFIELD,WV,37.268,-81.2226
BECKLEY,WV,37.7776,-81.1876
WEBSTER,WI,43.5945,-90.7257
WAUWATOSA,WI,43.0608,-88.0084
STAR LAKE,WI,46.0391,-89.4721
RACINE,WI,42.7252,-87.7904
PLATTEVILLE,WI,42.7349,-90.4801
OSHKOSH,WI,44.0249,-88.5444
MINOCQUA,WI,45.871,-89.71
MILWAUKEE,WI,43.042,-87.9069
MADISON,WI,43.073,-89.3867
KESHENA,WI,44.8866,-88.649
JANESVILLE,WI,42.6879,-89.0182
BELOIT,WI,42.5067,-89.0379
BARABOO,WI,43.4685,-89.7443
WALLA WALLA,WA,46.0704,-118.3424
VANCOUVER,WA,45.6322,-122.6716
TACOMA,WA,47.2551,-122.4416
SPOKANE,WA,47.6573,-117.4123
SHELTON,WA,47.2125,-123.1057
SEATTLE,WA,47.6036,-122.3295
RENTON,WA,47.4751,-122.2051
PULLMAN,WA,46.7302,-117.1815
PORT GAMBLE,WA,47.856,-122.5833
OLYMPIA,WA,47.0392,-122.8914
MONROE,WA,47.8524,-121.9815
LONGVIEW,WA,46.1468,-122.9505
KENNEWICK,WA,46.208,-119.117
CASHMERE,WA,47.5223,-120.47
WINOOSKI,VT,44.4914,-73.1876
WINDSOR,VT,43.4811,-72.3858
WILMINGTON,VT,42.8669,-72.8685
VERNON,VT,42.7616,-72.5115
TOWNSHEND,VT,43.0448,-72.6663
RUTLAND,VT,43.6051,-72.9783
PLAINFIELD,VT,44.2777,-72.4314
NEWFANE,VT,42.9882,-72.6559
MIDDLEBURY,VT,44.015,-73.1671
ISLAND POND,VT,44.8161,-71.8678
DUXBURY,VT,44.3163,-72.7612
CHARLESTON,VT,44.8847,-72.056
BURLINGTON,VT,44.4759,-73.2128
BENNINGTON,VT,42.8767,-73.1982
WILLIAMSBURG,VA,37.2756,-76.7097
WASHINGTON,VA,38.7118,-78.1603
VIRGINIA BEACH,VA,36.7553,-76.0596
SURRY,VA,37.1376,-76.8351
SUFFOLK,VA,36.7312,-76.589
RICHMOND,VA,37.5407,-77.4336
PORTSMOUTH,VA,36.8327,-76.2977
PETERSBURG,VA,37.2282,-77.4035
NORFOLK,VA,36.8468,-76.2851
NEWPORT NEWS,VA,37.0835,-76.4806
MCLEAN,VA,38.9368,-77.1849
LYNCHBURG,VA,37.414,-79.1428
LUNENBURG,VA,36.9501,-78.2793
LOUISA,VA,38.0255,-78.0038
HOPEWELL,VA,37.3039,-77.2869
HAYMARKET,VA,38.8124,-77.6369
HAMPTON,VA,37.0278,-76.3451
FREDERICKSBURG,VA,38.3009,-77.4591
FARMVILLE,VA,37.302,-78.3926
FAIRFAX,VA,38.8418,-77.3089
DAYTON,VA,38.4145,-78.939
DANVILLE,VA,36.586,-79.4172
CHARLOTTESVILLE,VA,38.0321,-78.4776
BLACKSBURG,VA,37.2263,-80.4106
ARLINGTON,VA,38.8905,-77.0863
ALEXANDRIA,VA,38.8046,-77.0434
SALT LAKE CITY,UT,40.7603,-111.8882
PROVO,UT,40.2337,-111.6685
CASTLE DALE,UT,39.2117,-111.0156
WACO,TX,31.5718,-97.1495
VIDOR,TX,30.1245,-94.0127
TEXARKANA,TX,33.4256,-94.0482
STONEWALL,TX,30.236,-98.6701
SEABROOK,TX,29.564,-95.0245
SAN SABA,TX,31.1958,-98.7165
SAN JUAN,TX,26.1877,-98.147
SAN ANTONIO,TX,29.4246,-98.4946
RIO GRANDE CITY,TX,26.3779,-98.8147
PLAINVIEW,TX,34.1977,-101.6981
PADUCAH,TX,34.0165,-100.3025
MIDLAND,TX,32,-102.0745
MARSHALL,TX,32.5463,-94.3501
LUBBOCK,TX,33.5845,-101.845
LONGVIEW,TX,32.5006,-94.7406
LAREDO,TX,27.5309,-99.5022
KILLEEN,TX,31.1169,-97.7274
HUNTSVILLE,TX,30.7238,-95.5522
HOUSTON,TX,29.7606,-95.3697
HIDALGO,TX,26.099,-98.2691
HEMPHILL,TX,31.3424,-93.8481
GLEN ROSE,TX,32.2346,-97.7554
FORT WORTH,TX,32.751,-97.3309
EL PASO,TX,31.7592,-106.4875
DENTON,TX,33.2166,-97.1316
DEL RIO,TX,29.3662,-100.8982
DALLAS,TX,32.7782,-96.7954
CORPUS CHRISTI,TX,27.7964,-97.4037
BROWNSVILLE,TX,25.9021,-97.4992
BEEVILLE,TX,28.402,-97.7494
BEAUMONT,TX,30.0862,-94.1014
AUSTIN,TX,30.2676,-97.743
AMARILLO,TX,35.2073,-101.8339
ABILENE,TX,32.4492,-99.7414
SOMERVILLE,TN,35.2448,-89.3501
PULASKI,TN,35.197,-87.0324
OAK RIDGE,TN,36.0145,-84.2565
NASHVILLE,TN,36.1678,-86.7782
MORRISTOWN,TN,36.215,-83.293
MEMPHIS,TN,35.1498,-90.0493
MANCHESTER,TN,35.476,-86.0807
KNOXVILLE,TN,35.9607,-83.921
JACKSON,TN,35.6139,-88.8194
GREENEVILLE,TN,36.1627,-82.8312
CHATTANOOGA,TN,35.0467,-85.3095
WOUNDED KNEE,SD,43.1492,-102.3478
STURGIS,SD,44.4149,-103.509
SIOUX FALLS,SD,43.5458,-96.7313
RAPID CITY,SD,44.0812,-103.2309
PINE RIDGE,SD,43.0264,-102.5517
PIERRE,SD,44.3689,-100.3502
MOUND CITY,SD,45.7259,-100.0688
HILL CITY,SD,43.9334,-103.5752
SUMTER,SC,33.9243,-80.3424
SPARTANBURG,SC,34.9483,-81.9349
SNELLING,SC,33.241,-81.455
ROCKHILL,SC,34.924,-81.0267
